Date,Debut,Fin,ETM
2022-09-07,,,08.08
2022-09-08,,,7.58
2022-09-09,,,6.65
2022-09-10,14:42:01,15:03:59,6.95
2022-09-11,21:17:00,21:43:51,8.50
2022-09-12,22:23:01,22:53:40,9.70
2022-09-14,16:32:01,16:51:35,6.18
2022-09-15,23:12:01,23:27:59,05.05
2022-09-16,20:53:01,21:09:37,5.25
2022-09-17,19:57:02,20:24:45,8.77
2022-09-18,23:10:01,23:31:40,6.85
2022-09-20,19:45:05,19:58:23,4.211
2022-09-22,00:20:01,00:33:59,4.42
2022-09-23,03:21:01,03:43:53,7.23
2022-09-24,16:30:03,16:49:32,6.15
2022-09-25,16:17:01,16:36:09,06.05
2022-09-26,16:50:02,17:02:28,3.93
2022-09-27,17:31:00,17:54:34,7.46
2022-09-28,22:01:01,22:25:15,7.67
2022-10-04,21:35:01,21:51:02,05.07
2022-10-05,12:16:00,12:25:37,03.04
2022-10-06,13:25:00,13:40:23,4.88