Date,Temperature,Temperature Max,Temperature Min,Pression,Humidit̩,Vitesse Du Vent,Pluviometrie
2022-09-07,25.32,29.71,20.93,1014,39,05.06,
2022-09-08,27.69,29.94,25.45,1015,40,4.99,
2022-09-09,27.26,29.67,24.86,1017,33,3.19,
2022-09-10,27.66,30.16,25.16,1016,44,4.62,0
2022-09-11,28.83,32.34,25.32,1015,44,5.91,0
2022-09-12,30.59,34.39,26.79,1011,37,5.78,0
2022-09-14,26.25,28.93,23.58,1013,58,6.73,0.24
2022-09-15,23.54,27.13,19.97,1013,51,4.56,0.55
2022-09-16,23.95,26.26,21.64,1014,53,4.67,0.26
2022-09-17,24.72,28.75,20.69,1011,43,8.24,0
2022-09-18,26.02,28.55,23.49,1009,61,10.16,0
2022-09-20,24.76,26.1,23.43,1017,68,5.6,0
2022-09-22,23.50,25.73,21.28,1017,66,05.07,0
2022-09-23,23.25,27.59,18.93,1017,46,6.14,0
2022-09-24,25.59,28.17,23.02,1012,46,4.47,0
2022-09-25,24.46,25.99,22.94,1011,44,5.26,0
2022-09-26,22.44,23.93,20.96,1014,67,06.01,0.18
2022-09-27,23.03,25.93,20.14,1017,49,9.28,0
2022-09-28,21.66,24.4,18.93,1016,46,10.37,0
2022-10-04,23.37,26.13,20.62,1020,62,06.03,0
2022-10-05,22.98,24.93,21.03,1021,69,4.86,0.76
2022-10-06,22.37,24.69,20.05,1022,58,6.96,0.26